CMDLINE /home/tebogo/anaconda3/bin/python 4threadsIndex.py
MEM 0.789062 1592510321.5397
MEM 10.855469 1592510321.6403
MEM 15.460938 1592510321.7407
MEM 22.246094 1592510321.8412
MEM 26.621094 1592510321.9416
MEM 30.363281 1592510322.0421
MEM 34.792969 1592510322.1426
MEM 37.886719 1592510322.2430
MEM 40.226562 1592510322.3435
CMDLINE /home/tebogo/anaconda3/bin/python 4threadsIndex.py
MEM 0.003906 1592510321.5405
MEM 11.117188 1592510321.6410
MEM 15.742188 1592510321.7414
MEM 22.171875 1592510321.8422
MEM 26.066406 1592510321.9427
MEM 29.871094 1592510322.0431
MEM 34.019531 1592510322.1436
MEM 37.640625 1592510322.2442
MEM 38.421875 1592510322.3447
CMDLINE /home/tebogo/anaconda3/bin/python 4threadsIndex.py
MEM 0.750000 1592510321.5475
MEM 11.187500 1592510321.6480
MEM 15.441406 1592510321.7485
MEM 22.042969 1592510321.8498
MEM 26.617188 1592510321.9503
MEM 30.207031 1592510322.0507
MEM 33.484375 1592510322.1512
MEM 36.644531 1592510322.2517
MEM 38.140625 1592510322.3522
CMDLINE /home/tebogo/anaconda3/bin/python 4threadsIndex.py
MEM 5.980469 1592510321.5452
MEM 10.941406 1592510321.6458
MEM 15.191406 1592510321.7462
MEM 20.964844 1592510321.8467
MEM 25.093750 1592510321.9471
MEM 28.835938 1592510322.0476
MEM 32.984375 1592510322.1481
MEM 36.535156 1592510322.2486
MEM 37.890625 1592510322.3490
MEM 42.152344 1592510322.4496
