CMDLINE /home/tebogo/anaconda3/bin/python EvenOddIndex.py
MEM 6.859375 1592510417.2895
MEM 11.875000 1592510417.3900
MEM 18.535156 1592510417.4905
MEM 24.832031 1592510417.5909
MEM 31.222656 1592510417.6914
MEM 37.492188 1592510417.7918
MEM 41.039062 1592510417.8923
CMDLINE /home/tebogo/anaconda3/bin/python EvenOddIndex.py
MEM 6.597656 1592510417.4696
MEM 13.214844 1592510417.5701
MEM 19.757812 1592510417.6706
MEM 24.632812 1592510417.7710
MEM 28.105469 1592510417.8715
MEM 32.976562 1592510417.9721
MEM 37.128906 1592510418.0726
MEM 38.296875 1592510418.1731
CMDLINE /home/tebogo/anaconda3/bin/python EvenOddIndex.py
MEM 1.796875 1592510417.5382
MEM 11.203125 1592510417.6387
MEM 16.683594 1592510417.7392
MEM 22.363281 1592510417.8397
MEM 26.660156 1592510417.9401
MEM 31.207031 1592510418.0406
MEM 36.390625 1592510418.1411
MEM 38.199219 1592510418.2416
