

         446349 function calls (435979 primitive calls) in 5.421 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
2997/1497    0.006    0.000    0.649    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     1291    0.007    0.000    0.007    0.000 <frozen importlib._bootstrap>:103(release)
      721    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      721    0.002    0.000    0.024    0.000 <frozen importlib._bootstrap>:147(__enter__)
      721    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1291    0.014    0.000    0.019    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      709    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:176(cb)
      570    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
   896/11    0.001    0.000    1.463    0.133 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     6519    0.006    0.000    0.006    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      686    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
      686    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:311(__enter__)
      686    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap>:318(__exit__)
     2744    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      626    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:35(_new_module)
      706    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:369(__init__)
     1306    0.003    0.000    0.026    0.000 <frozen importlib._bootstrap>:403(cached)
     1332    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(parent)
      686    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      686    0.008    0.000    0.044    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  686/680    0.004    0.000    0.089    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      709    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:58(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:634(_load_backward_compatible)
   688/12    0.009    0.000    1.468    0.122 <frozen importlib._bootstrap>:663(_load_unlocked)
      704    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
     1291    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap>:78(acquire)
      698    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:792(find_spec)
     2115    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:855(__enter__)
     2115    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:859(__exit__)
       15    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
  704/702    0.013    0.000    0.151    0.000 <frozen importlib._bootstrap>:882(_find_spec)
   721/10    0.007    0.000    1.472    0.147 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   721/10    0.011    0.000    1.473    0.147 <frozen importlib._bootstrap>:978(_find_and_load)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
    54/51    0.000    0.000    0.039    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
    54/41    0.000    0.000    0.058    0.001 <frozen importlib._bootstrap_external>:1048(exec_module)
       82    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     1278    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      698    0.007    0.000    0.125    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      698    0.002    0.000    0.127    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       82    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      656    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      680    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     1131    0.027    0.000    0.106    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       82    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       82    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
     1252    0.016    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      680    0.003    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     1131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      626    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      626    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      626    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     1878    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      626    0.005    0.000    0.176    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     6150    0.013    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      680    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     6150    0.012    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     1252    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      626    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
   626/12    0.005    0.000    1.441    0.120 <frozen importlib._bootstrap_external>:722(exec_module)
     2774    0.004    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      626    0.017    0.000    0.262    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     1017    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      626    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      626    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      626    0.019    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      935    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      626    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       82    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      574    0.001    0.000    0.001    0.000 <string>:1(__new__)
        1    0.000    0.000    0.562    0.562 Bitmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Bitmap.py:11(DictionaryHandler)
        1    0.000    0.000    0.000    0.000 Bitmap.py:45(Bitmap)
        1    0.000    0.000    0.000    0.000 Bitmap.py:46(__init__)
      416    0.004    0.000    0.004    0.000 Bitmap.py:56(createBitmap)
        1    0.000    0.000    0.000    0.000 ElementPath.py:255(_SelectorContext)
        1    0.000    0.000    0.002    0.002 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:105(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1139(_ListDataStream)
        1    0.000    0.000    0.187    0.187 ElementTree.py:1187(parse)
        1    0.000    0.000    0.000    0.000 ElementTree.py:124(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1249(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1361(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1437(XMLParser)
        1    0.000    0.000    0.009    0.009 ElementTree.py:34(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:495(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:543(ElementTree)
        1    0.000    0.000    0.000    0.000 ElementTree.py:554(__init__)
        1    0.000    0.000    0.000    0.000 ElementTree.py:560(getroot)
        1    0.000    0.000    0.187    0.187 ElementTree.py:574(parse)
        1    0.000    0.000    0.000    0.000 NodeFilter.py:4(<module>)
        1    0.000    0.000    0.000    0.000 NodeFilter.py:4(NodeFilter)
        1    0.000    0.000    0.000    0.000 PyColorize.py:176(Parser)
        1    0.000    0.000    0.009    0.009 PyColorize.py:30(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       36    0.002    0.000    0.522    0.015 __init__.py:1(<module>)
        5    0.000    0.000    0.026    0.005 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(register)
        1    0.000    0.000    0.000    0.000 __init__.py:100(NotSupportedErr)
        1    0.000    0.000    0.000    0.000 __init__.py:103(InuseAttributeErr)
        1    0.000    0.000    0.366    0.366 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:106(EvaluatorSubprocess)
        1    0.000    0.000    0.000    0.000 __init__.py:106(InvalidStateErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1065(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:109(SyntaxErr)
        2    0.000    0.000    0.153    0.076 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:112(InvalidModificationErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1134(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:115(NamespaceErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1158(PlaceHolder)
        3    0.000    0.000    0.000    0.000 __init__.py:1164(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1170(append)
        1    0.000    0.000    0.000    0.000 __init__.py:118(InvalidAccessErr)
        1    0.000    0.000    0.028    0.028 __init__.py:12(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(__init__)
