
 The speakers in the  []  debates are: 
 ['#president']
         13692 function calls (12729 primitive calls) in 0.020 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.020    0.020 search.py:28(allocate)
        1    0.000    0.000    0.019    0.019 /home/tebogo/Desktop/bigdatalabs/project/functions.py:3(retrieveBitmap)
        1    0.000    0.000    0.019    0.019 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/lib/npyio.py:291(load)
        1    0.000    0.000    0.019    0.019 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/lib/format.py:678(read_array)
        1    0.000    0.000    0.018    0.018 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/lib/format.py:553(_read_array_header)
        1    0.000    0.000    0.018    0.018 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/lib/format.py:512(_filter_header)
       22    0.000    0.000    0.018    0.001 /home/tebogo/anaconda3/lib/python3.7/tokenize.py:487(_tokenize)
       19    0.000    0.000    0.017    0.001 /home/tebogo/anaconda3/lib/python3.7/tokenize.py:147(_compile)
       19    0.000    0.000    0.017    0.001 /home/tebogo/anaconda3/lib/python3.7/re.py:232(compile)
       19    0.000    0.000    0.017    0.001 /home/tebogo/anaconda3/lib/python3.7/re.py:271(_compile)
        1    0.000    0.000    0.017    0.017 /home/tebogo/anaconda3/lib/python3.7/sre_compile.py:759(compile)
        1    0.000    0.000    0.012    0.012 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:919(parse)
     46/1    0.001    0.000    0.012    0.012 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:417(_parse_sub)
    175/1    0.004    0.000    0.012    0.012 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:475(_parse)
        1    0.000    0.000    0.005    0.005 /home/tebogo/anaconda3/lib/python3.7/sre_compile.py:598(_code)
    235/1    0.002    0.000    0.005    0.005 /home/tebogo/anaconda3/lib/python3.7/sre_compile.py:71(_compile)
       22    0.000    0.000    0.002    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:96(closegroup)
   257/23    0.001    0.000    0.002    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:174(getwidth)
     1315    0.001    0.000    0.002    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:164(__getitem__)
      604    0.001    0.000    0.001    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:254(get)
      839    0.001    0.000    0.001    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:233(__next)
       54    0.001    0.000    0.001    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_compile.py:276(_optimize_charset)
2219/1959    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     2688    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      480    0.000    0.000    0.001    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:249(match)
     1383    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        2    0.001    0.000    0.001    0.000 {method 'recv' of 'mpi4py.MPI.Comm' objects}
      621    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      425    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:160(__len__)
      355    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:172(append)
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/core/arrayprint.py:98(set_printoptions)
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/core/arrayprint.py:69(_make_options_dict)
      258    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:111(__init__)
      206    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:286(tell)
       62    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_compile.py:423(_simple)
        1    0.000    0.000    0.000    0.000 {method 'bcast' of 'mpi4py.MPI.Comm' objects}
       54    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/lib/utils.py:1094(safe_eval)
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/ast.py:38(literal_eval)
        9    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_compile.py:411(_mk_bitmap)
       53    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:408(_uniq)
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/tokenize.py:312(untokenize)
      206    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 /home/tebogo/Desktop/bigdatalabs/project/functions.py:15(readSpeakersDictionary)
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/tokenize.py:238(untokenize)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.fromfile}
        3    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/ast.py:30(parse)
       22    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:84(opengroup)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      150    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(all)
        9    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_compile.py:413(<listcomp>)
      339    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       24    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:343(_escape)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2277(all)
