
 

********************* SEARCH ********************* 

speaker search time 0.03869938850402832

 The speakers in the  []  debates are: 
 ['#president']
         196981 function calls (193654 primitive calls) in 0.409 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(all)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
   806/67    0.001    0.000    0.200    0.003 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      445    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      136    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      136    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      445    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      135    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      309    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    196/4    0.000    0.000    0.223    0.056 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1061    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      130    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      520    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      240    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
      364    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
      130    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      130    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    130/4    0.001    0.000    0.224    0.056 <frozen importlib._bootstrap>:663(_load_unlocked)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
      445    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      410    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      410    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
      135    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap>:882(_find_spec)
    136/4    0.001    0.000    0.225    0.056 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    136/4    0.001    0.000    0.225    0.056 <frozen importlib._bootstrap>:978(_find_and_load)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
       20    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
    20/15    0.000    0.000    0.042    0.003 <frozen importlib._bootstrap_external>:1048(exec_module)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      198    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      135    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      135    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      130    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      185    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      220    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      130    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      110    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
